Country,Year,Electricity Generation Per Capita,Financial Access,Rural Population Growth,Income Inequality,Health Expenditure,Renewable Electricity Generation,Policy Stringency,Per Capita Income,Urban Population Growth,Environmental Innovation,Financial Development,Net Energy Import,Low Carbon Trade,Foreign Direct Investment,Industrial Share,Energy Demand
Brazil,2010,2597.932,0.710,-0.901,0.6811,29.39,405466.0000,0.2222,40061.972,1.285,702.21,0.6105,607.442,0.526,3.7300,23.2680,545.43
Brazil,2011,2657.533,0.716,-0.979,0.6855,29.30,431038.0000,0.1667,41454.895,1.279,795.60,0.6034,695.249,0.490,3.9152,23.1021,563.29
Brazil,2012,2732.150,0.730,-1.018,0.6782,29.68,420392.0000,0.2500,41130.954,1.245,901.93,0.6246,818.274,0.569,3.7550,22.1336,587.42
Brazil,2013,2791.826,0.731,-1.047,0.6709,28.18,397576.0000,0.5833,41707.687,1.205,835.85,0.6239,1111.583,0.577,3.0415,21.2248,603.81
Brazil,2014,2859.800,0.739,-1.074,0.6732,28.18,385666.0000,0.5833,41318.583,1.189,796.44,0.6259,1035.885,0.523,3.5714,20.4725,615.65
Brazil,2015,2791.549,0.735,-1.089,0.6817,24.71,381428.0000,0.6389,39890.282,1.171,812.65,0.6235,619.137,0.593,3.5921,19.3600,605.99
Brazil,2016,2762.135,0.727,-1.119,0.6845,24.42,414484.0000,0.8889,39348.212,1.128,862.84,0.6166,189.540,0.549,4.1374,18.3548,612.19
Brazil,2017,2789.195,0.699,-1.139,0.6821,24.47,414111.0000,0.8889,39730.360,1.102,842.44,0.6189,87.263,0.471,3.3383,18.1885,617.51
Brazil,2018,2824.312,0.687,-1.124,0.6809,24.83,440907.0000,0.8889,39721.450,1.095,808.72,0.6383,-48.916,0.578,4.0775,18.7491,629.12
Brazil,2019,2921.412,0.667,-1.151,0.6722,24.88,460518.0000,0.8889,39305.069,1.060,808.98,0.6572,-276.184,0.642,3.6927,18.7546,643.63
Brazil,2020,2883.371,0.630,-1.243,0.6870,22.77,464180.0000,0.8889,41172.694,0.952,808.69,0.6622,-757.665,0.746,2.5926,19.5061,639.08
Brazil,2021,3022.697,0.614,-1.377,0.6870,22.65,451856.0000,1.0119,41130.766,0.808,783.81,0.6775,-266.426,0.950,2.8152,22.1235,685.69
Brazil,2022,3053.202,0.592,-1.435,0.6841,23.78,538872.0000,1.0306,39528.903,0.732,775.34,0.6932,-516.047,0.702,3.8856,22.8195,703.99
China,2000,999.433,0.034,-0.778,0.4980,60.13,223167.0000,0.2222,7112.733,3.649,2359.56,0.3712,745.584,1.616,3.4751,45.5361,1346.85
China,2001,1075.842,0.035,-1.188,0.5072,64.19,278328.0000,0.2222,7671.685,4.060,1871.07,0.3496,85.898,1.679,3.5130,44.7934,1472.19
China,2002,1174.171,0.037,-1.470,0.5346,62.85,289011.0000,0.3056,8318.502,4.198,2866.02,0.3772,439.874,2.058,3.6091,44.4506,1645.61
China,2003,1348.261,0.038,-1.596,0.5428,60.72,284900.0000,0.3611,9092.473,4.078,4083.44,0.4001,952.829,3.039,3.4874,45.6228,1903.22
China,2004,1547.819,0.041,-1.704,0.5460,58.77,355068.0000,0.6944,9911.099,3.975,5401.11,0.4254,2278.439,4.061,3.4836,45.9002,2197.23
China,2005,1765.010,0.042,-1.781,0.5577,57.69,399251.0000,0.6944,10941.673,3.882,8091.99,0.4202,2390.396,4.325,4.5543,47.0226,2494.08
China,2006,2009.937,0.043,-1.811,0.5590,55.99,439882.0000,0.6944,12243.684,3.675,9632.64,0.4661,3245.823,4.336,4.5086,47.5574,2858.84
China,2007,2297.188,0.053,-1.877,0.5620,51.29,491211.0000,0.6944,13942.667,3.511,10966.30,0.5140,3990.044,4.219,4.4010,46.8842,3271.23
China,2008,2415.861,0.070,-1.963,0.5622,47.37,600290.0000,0.8056,15320.137,3.434,11768.19,0.4804,4451.860,3.945,3.7336,46.9712,3482.96
China,2009,2578.365,0.089,-2.043,0.5627,43.46,642951.0000,0.9722,16799.815,3.338,14965.23,0.5126,6638.524,3.065,2.5689,45.9571,3703.26
China,2010,2911.877,0.111,-2.133,0.5665,40.80,767627.0000,1.3056,18586.361,3.255,18588.72,0.5160,8244.407,3.583,4.0035,46.4978,4193.65
China,2011,3220.643,0.135,-2.017,0.5646,40.27,772018.0000,1.4722,20254.278,3.123,21985.20,0.5109,9586.774,3.217,3.7088,46.5293,4700.28
China,2012,3412.009,0.255,-1.888,0.5531,39.23,974577.0000,2.4722,21836.763,3.131,24191.54,0.5469,11163.438,2.849,2.8271,45.4230,4976.76
China,2013,3687.801,0.296,-1.955,0.5621,38.16,1077098.0000,2.5278,23534.471,3.048,27269.76,0.5556,12053.017,2.629,3.0399,44.1767,5420.40
China,2014,3904.027,0.335,-2.057,0.5546,36.56,1256529.0000,2.7500,25256.906,2.953,29989.39,0.5877,12515.640,2.434,2.5592,43.0856,5783.04
China,2015,3891.626,0.439,-2.169,0.5555,35.09,1355698.0000,2.8889,27018.316,2.843,37428.03,0.6202,11971.131,2.255,2.1922,40.8413,5802.14
China,2016,4065.248,0.462,-2.244,0.5537,35.91,1487797.0000,2.7778,28848.587,2.776,45398.60,0.6349,13671.797,2.017,1.5556,39.5806,6120.44
China,2017,4365.240,0.474,-2.265,0.5614,36.05,1613099.0000,2.8333,30896.756,2.740,53730.07,0.6272,15092.207,2.020,1.3491,39.8517,6591.39
China,2018,4714.000,0.531,-2.409,0.5592,35.75,1775293.0000,2.8611,33029.029,2.503,60534.73,0.6374,16772.537,1.927,1.6939,39.6870,7150.92
China,2019,4924.981,0.524,-2.516,0.5579,35.23,1936141.0000,2.9444,35129.461,2.290,67684.33,0.6290,17998.398,1.890,1.3107,38.5874,7486.63
China,2020,5095.640,0.489,-2.624,0.5641,34.79,2084144.0000,3.1389,36631.752,2.078,75649.77,0.6718,19205.221,1.906,1.7232,37.8428,7762.03
China,2021,5601.929,0.527,-2.761,0.5652,34.39,2324318.0000,3.0794,38694.150,1.839,82936.48,0.6627,19345.801,2.025,1.9308,39.2908,8516.56
China,2022,5815.298,0.528,-2.848,0.5667,35.04,2544421.0000,3.1327,39957.408,1.649,90165.43,0.6772,18330.489,1.663,1.0030,39.3277,8831.03
India,2000,496.313,0.095,1.527,0.5085,71.70,76148.0000,0.9167,9038.925,2.599,669.79,0.4172,2183.836,0.323,0.7652,27.3258,572.74
India,2001,502.807,0.100,1.461,0.5178,74.11,75939.0000,0.9167,9352.724,2.712,835.18,0.4065,2188.297,0.343,1.0564,26.4878,587.36
India,2002,508.395,0.103,1.323,0.5272,73.37,72110.0000,1.0556,9587.724,2.938,1122.54,0.4108,2312.182,0.378,1.0116,27.6607,610.99
India,2003,531.200,0.102,1.266,0.5368,73.42,84543.0000,1.3056,10216.871,2.879,1580.38,0.4190,2383.211,0.414,0.6059,27.4741,639.82
India,2004,549.516,0.111,1.208,0.5464,72.48,95184.0000,1.3056,10899.025,2.825,1949.91,0.4312,2598.578,0.473,0.7656,29.2191,700.02
India,2005,562.764,0.110,1.136,0.5562,73.15,114336.0000,1.5556,11635.182,2.746,2494.97,0.4396,2902.358,0.594,0.8861,29.5338,706.07
India,2006,604.651,0.112,1.051,0.5660,72.26,130399.0000,1.5556,12291.222,2.660,2772.29,0.4557,3223.634,0.688,2.1302,30.9272,747.17
India,2007,645.185,0.116,0.987,0.5760,70.82,140023.0000,1.5000,12941.406,2.600,2880.49,0.4336,3549.215,0.750,2.0734,30.9032,801.20
India,2008,656.776,0.124,0.936,0.5861,69.15,132651.0000,1.5000,13054.714,2.553,3190.20,0.4656,3891.897,1.068,3.6205,31.1367,833.92
India,2009,694.390,0.131,0.901,0.5965,66.76,131984.0000,1.5833,13783.365,2.512,3330.88,0.4924,4575.029,0.992,2.6516,31.1214,885.01
India,2010,727.188,0.145,0.882,0.6070,65.18,144632.0000,1.6944,14639.200,2.493,3903.77,0.4612,4889.355,0.781,1.6350,30.7251,943.02
India,2011,728.175,0.157,0.859,0.6203,62.22,168160.0000,1.7778,15269.360,2.474,4265.69,0.4283,5179.231,0.900,2.0021,30.1617,1039.12
India,2012,767.388,0.174,0.810,0.6264,63.00,158703.0000,1.8611,15966.828,2.470,4353.76,0.4057,5764.519,0.897,1.3129,29.3985,1096.48
India,2013,861.176,0.190,0.756,0.6279,69.07,185598.0000,1.7778,16705.228,2.457,4495.82,0.4029,6174.567,0.844,1.5163,28.4049,1150.09
India,2014,931.742,0.223,0.678,0.6336,67.01,185615.0000,1.8611,17660.143,2.424,4588.27,0.4198,7053.587,0.744,1.6957,27.6564,1262.79
India,2015,963.877,0.240,0.605,0.6336,64.66,181971.0000,1.9722,18791.903,2.394,5176.39,0.4224,7311.516,0.807,2.0921,27.3474,1322.19
India,2016,998.350,0.254,0.581,0.6336,63.21,204905.0000,2.5278,20070.270,2.413,4995.11,0.4206,7489.009,0.801,1.9374,26.6190,1400.65
India,2017,1026.019,0.261,0.528,0.6336,55.11,223090.0000,2.5278,21166.268,2.407,5344.70,0.4362,7900.555,0.778,1.5073,26.5000,1469.20
India,2018,1032.621,0.260,0.438,0.6336,53.23,257374.0000,2.6944,22281.425,2.359,5771.41,0.4519,8405.345,0.828,1.5582,26.4121,1575.08
India,2019,1061.109,0.257,0.353,0.6336,52.00,294803.0000,2.6944,22646.085,2.316,5837.05,0.4462,8717.593,0.834,1.7848,24.5915,1618.96
India,2020,1009.602,0.262,0.260,0.6336,49.45,290248.0000,2.8333,21639.781,2.264,6054.22,0.5158,7796.326,0.749,2.4091,25.1229,1581.83
India,2021,1051.532,0.262,0.077,0.6336,49.82,313465.0000,3.0913,22728.032,2.125,6383.67,0.5143,7665.599,0.891,1.4198,26.4665,1712.88
India,2022,1048.117,0.262,-0.064,0.6336,51.13,359123.0000,3.2109,23093.297,2.025,6586.44,0.5389,8146.216,0.803,1.4617,25.2841,1855.66
Russia,2000,5527.963,0.287,-0.406,0.6014,30.21,165435.0000,0.5556,45428.831,-0.426,818.00,0.4563,-8349.706,0.845,1.0312,33.9190,819.42
Russia,2001,5645.916,0.387,-0.409,0.6079,30.79,175944.0000,0.6111,47664.560,-0.430,843.14,0.4735,-8832.509,0.932,0.9287,31.8374,827.29
Russia,2002,5661.082,0.402,-0.441,0.5931,31.21,164352.0000,0.6111,48733.932,-0.467,728.17,0.4698,-9851.702,0.819,1.0055,29.0564,838.78
Russia,2003,5861.418,0.428,-0.574,0.5963,33.28,158053.0000,0.7222,52580.711,-0.410,791.54,0.4973,-10942.851,0.747,1.8424,28.6531,855.41
Russia,2004,5983.377,0.374,-0.572,0.5892,33.81,178193.0000,0.6667,55506.073,-0.341,944.61,0.4664,-12284.520,0.697,2.6062,31.7022,878.61
Russia,2005,6184.039,0.422,-0.551,0.5826,31.93,175021.0000,0.6667,58324.196,-0.320,1032.32,0.4951,-12881.575,0.734,2.0298,32.6292,889.42
Russia,2006,6458.702,0.486,-0.497,0.5970,31.13,175750.0000,0.6667,62748.964,-0.266,1132.19,0.5326,-12858.388,0.722,3.7977,31.7803,926.60
Russia,2007,6589.813,0.579,-0.341,0.5982,31.45,179474.0000,0.6667,66442.341,-0.110,1037.20,0.5519,-13193.103,0.722,4.2990,31.2220,948.13
Russia,2008,6816.337,0.675,-0.214,0.6121,31.55,167181.0000,0.6667,69546.504,0.017,1014.59,0.5384,-12816.690,0.763,4.5027,30.7869,967.32
Russia,2009,6530.950,0.712,-0.137,0.5863,34.58,176586.0000,0.6667,65551.251,0.090,1098.73,0.5726,-12842.743,0.855,2.9921,29.3269,925.42
Russia,2010,6786.921,0.820,-0.126,0.5491,35.33,168906.0000,0.6667,67889.445,0.106,1271.83,0.5189,-13729.791,0.766,2.8308,29.9996,965.89
Russia,2011,6897.766,0.914,-0.053,0.5649,34.19,168135.0000,0.6667,69963.110,0.179,1411.88,0.5607,-13767.583,0.754,2.6924,29.4136,976.86
Russia,2012,6985.025,0.931,0.027,0.5468,33.40,167801.0000,0.6667,72026.535,0.332,1398.32,0.5046,-13880.250,0.806,2.2908,29.1029,998.24
Russia,2013,6917.323,0.934,0.022,0.5609,34.83,183103.0000,1.0833,73532.308,0.395,1231.69,0.4857,-14577.524,0.855,3.0194,28.1913,990.73
Russia,2014,6896.001,0.918,-0.034,0.5439,35.83,177852.0000,1.0833,73962.756,0.417,1249.14,0.4790,-14077.926,0.888,1.0699,27.9315,1000.46
Russia,2015,6899.645,0.871,-0.105,0.5407,38.65,170854.0000,1.0833,73049.910,0.414,1217.15,0.4585,-14855.402,0.971,0.5026,29.7941,999.40
Russia,2016,7056.043,0.840,-0.182,0.5433,40.48,187696.0000,1.1667,73060.868,0.413,1370.02,0.5030,-15376.770,2.014,2.5485,29.1739,1019.63
Russia,2017,7045.750,0.830,-0.305,0.5397,40.49,188264.0000,1.1667,74623.349,0.364,1376.25,0.4639,-15919.888,1.908,1.8141,30.6733,1026.54
Russia,2018,7183.979,0.796,-0.478,0.5465,38.31,194405.0000,1.1667,76475.409,0.262,1439.60,0.4691,-16802.513,0.942,0.5301,32.5543,1035.00
Russia,2019,7227.420,0.789,-0.566,0.5475,36.57,198553.0000,1.1667,78756.146,0.245,1370.87,0.4859,-17429.922,0.926,1.8885,32.1505,1045.16
Russia,2020,7032.390,0.777,-0.803,0.5820,26.43,218072.0000,1.1667,78050.063,0.080,1467.88,0.5305,-15927.111,1.095,0.6349,29.7171,1036.25
Russia,2021,7508.291,0.757,-1.059,0.5820,27.22,222358.0000,1.2024,81268.490,-0.103,1462.03,0.5136,-15979.302,1.108,2.2021,31.4021,1092.69
Russia,2022,7463.190,0.740,-1.122,0.5890,32.13,207913.0000,1.2109,79128.735,-0.097,1483.28,0.5408,-16534.712,1.196,-1.7764,32.0955,1106.02
South Africa,2000,4238.734,0.179,-0.144,0.6507,14.46,3934.0000,0.2500,35573.529,1.810,551.50,0.4906,-754.703,1.198,0.6384,28.2298,198.38
South Africa,2001,4181.901,0.180,-0.227,0.6563,14.13,3912.0000,0.2500,35709.674,1.721,487.92,0.4624,-812.721,1.676,5.3683,28.5316,196.79
South Africa,2002,4296.485,0.168,-0.341,0.6620,13.56,4394.0000,0.2500,36238.871,1.830,489.71,0.4885,-859.571,1.624,1.1464,28.5059,204.21
South Africa,2003,4591.609,0.174,-0.386,0.6678,12.33,3688.0000,0.2500,36637.730,1.866,542.97,0.4419,-765.583,1.511,0.3975,26.8929,214.73
South Africa,2004,4752.382,0.183,-0.390,0.6650,11.85,4637.0000,0.2500,37551.584,1.867,502.76,0.4719,-666.825,1.324,0.2742,26.3036,223.00
South Africa,2005,4714.819,0.188,-0.388,0.6754,11.31,4211.0000,0.1944,38829.395,1.861,524.41,0.4931,-735.761,1.376,2.2578,26.0151,225.00
South Africa,2006,4837.351,0.197,-0.382,0.6884,10.58,5857.0000,0.4444,40266.314,1.868,505.74,0.5206,-670.782,1.814,0.2051,24.8591,232.79
South Africa,2007,4971.408,0.199,-0.345,0.7090,9.70,3859.0000,0.4444,41752.247,1.907,473.65,0.5454,-445.822,1.972,1.9776,25.2946,243.66
South Africa,2008,4812.342,0.276,-0.242,0.6967,8.84,3996.0000,0.3889,42534.593,2.017,469.15,0.5599,-260.603,2.374,3.1269,26.9416,237.12
South Africa,2009,4593.383,0.328,-0.192,0.6899,8.11,4172.0000,1.1111,42909.598,2.057,390.73,0.5823,-74.931,1.499,2.3122,25.7431,229.84
South Africa,2010,4725.545,0.356,-0.203,0.7094,8.00,5101.0000,1.8333,48262.608,2.050,440.48,0.5887,-429.143,1.535,0.8849,25.3035,240.52
South Africa,2011,4720.963,0.370,-0.144,0.7186,7.75,5056.0000,1.5278,46214.857,2.108,426.38,0.5533,-370.976,1.726,0.9034,24.8395,241.41
South Africa,2012,4576.909,0.365,-0.093,0.7459,7.72,4248.0000,0.8611,47033.191,2.164,504.87,0.5605,-555.556,1.670,1.0649,24.4686,235.87
South Africa,2013,4482.064,0.371,-0.067,0.7462,7.61,4028.0000,0.8611,47478.966,2.182,432.22,0.5678,-571.426,1.998,2.0536,24.5517,234.01
South Africa,2014,4352.639,0.413,0.132,0.7465,5.66,6085.0000,0.8611,47837.597,2.387,402.83,0.5864,-413.820,1.923,1.5193,24.3053,233.90
South Africa,2015,4218.535,0.423,0.618,0.7465,5.74,8349.0000,0.8611,46236.994,2.873,367.49,0.6031,-540.236,1.952,0.4387,23.7323,230.40
South Africa,2016,4196.990,0.420,-0.497,0.7465,5.79,10680.0000,0.8611,46623.797,1.760,368.48,0.6248,-452.322,1.810,0.6846,23.7825,230.00
South Africa,2017,4222.509,0.418,-1.092,0.7465,5.83,14149.0000,0.8611,46458.592,1.163,344.17,0.6341,-483.832,1.469,0.5397,23.6106,231.26
South Africa,2018,4224.146,0.412,-0.264,0.7465,5.84,16402.0000,0.9167,47334.850,1.989,376.20,0.6426,-520.616,1.346,1.3743,23.5371,232.33
South Africa,2019,4117.980,0.398,-0.205,0.7465,5.73,17224.0000,0.8611,47556.321,2.047,291.25,0.6400,-571.699,1.471,1.3141,23.6220,229.39
South Africa,2020,3852.159,0.364,-0.291,0.7465,5.39,18551.0000,0.9167,46358.079,1.965,306.09,0.6215,-562.847,1.546,0.9322,23.3506,218.14
South Africa,2021,3890.951,0.363,-0.523,0.7465,5.51,21793.0000,0.9087,50027.209,1.728,283.93,0.6324,-400.673,1.561,9.6779,24.6173,219.06
South Africa,2022,3774.726,0.343,-0.688,0.7465,5.61,23156.0000,0.9201,49471.784,1.558,263.15,0.6268,-513.959,1.256,2.2688,24.6771,211.52
